belinda,belinda@gmail.com,111,28
bob,bob@gmail.com,121,29
cindy,cindy@gmail.com,131,0
chris,dick@gmail.com,141,0
steven,steven@gmail.com,151,1
frank,frank@gmail.com,161,0
gellert,gellert@gmail.com,171,0
henry,henry@gmail.com,181,0
lily,lily@gmail.com,191,0
jacob,jacob@gmail.com,211,0
rory,rory@gmail.com,212,0
lary,lary@gmail.com,213,0
mary,mary@gmail.com,214,0
nancy,nancy@gmail.com,215,0
jessie,jessie@gmail.com,216,0
steph,steph@gmail.com,217,0
calvin,calvin@gmail.com,218,0
mario,mario@gmail.com,219,0
peter,peter@gmail.com,311,0
raoul,raoul@gmail.com,312,0
brian,brian@gmail.com,313,0
conner,conner@gmail.com,314,0
mustafa,mustafa@gmail.com,315,0
tohsaka,tohsaka@gmail.com,316,2
mychul,mychul@gmail.com,317,1
billy,billy@gmail.com,318,0
tom,tom@gmail.com,319,0
kyle,kyle@gmail.com,222,0
sally,sally@gmail.com,333,0
sharon,sharon@gmail.com,123,0
